Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
Apartamento,4.612,2990,Perdizes, 85 ,3,2,1
Apartamento,5.280,3400,Jardim Paulista, 182 ,3,2,1
Apartamento,7.870,5500,Santana, 179 ,3,4,4
Condomínio,60.470,50000,Alto Da Boa Vista, 2000 ,4,7,6
Apartamento,3.076,2100,Higienópolis, 41 ,1,1,1
Apartamento,1.565,1200,Santana, 59 ,1,1,0
Cobertura,9.190,6000,Santana, 103 ,3,3,4
Apartamento,6.604,4200,Moema, 102 ,3,4,2
Sobrado,29.980,28000,Alto De Pinheiros, 550 ,5,7,6
Sobrado,4.912,4500,Brooklin, 150 ,3,4,2
Apartamento,5.720,4000,Pinheiros, 157 ,3,3,1
Apartamento,3.795,2800,Consolação, 45 ,1,1,1
Apartamento,2.488,1400,Santana, 90 ,3,3,2
Apartamento,12.020,6000,Real Parque, 320 ,3,5,4
Apartamento,5.205,3990,Itaim Bibi, 87 ,3,2,1
Apartamento,12.930,8500,Moema, 220 ,4,4,4
Apartamento,11.710,9000,Jardim América, 165 ,3,3,2
Apartamento,9.380,6800,Tatuapé, 190 ,3,4,2
Apartamento,8.000,4200,Jardim Paulista, 190 ,3,4,1
Apartamento,4.250,3200,Santana, 110 ,2,2,0
Apartamento,3.793,3000,Parada Inglesa, 76 ,3,2,2
Apartamento,7.244,5500,Jardim América, 58 ,1,1,2
Casa,10.800,6000,Jardim São Paulo(zona Norte), 400 ,3,6,2
Apartamento,5.573,4500,Pinheiros, 125 ,3,2,1
Casa,19.575,17000,Morumbi, 570 ,4,5,4
Casa,5.920,4900,Santana, 413 ,3,3,3
Sobrado,4.025,3600,Santana, 245 ,3,5,5
Apartamento,4.124,3200,Pinheiros, 52 ,2,2,1
Casa,23.516,20000,Alto De Pinheiros, 763 ,3,5,8
Apartamento,2.340,2200,Jardim São Paulo(zona Norte), 84 ,3,1,0
Apartamento,2.949,2199,Bela Vista, 45 ,1,1,1
Apartamento,6.600,5000,Santana, 136 ,3,5,2
Apartamento,1.540,1150,Bela Vista, 36 ,1,1,0
Apartamento,209.279,180000,Jardim Europa, 750 ,4,5,6
Apartamento,7.200,5000,Jardim América, 197 ,3,3,1
Cobertura,20.225,15000,Moema, 240 ,3,5,4
Apartamento,38.069,31200,Moema, 257 ,3,5,4
Apartamento,8.570,4500,Brooklin, 210 ,3,4,2
Apartamento,18.900,14000,Alto De Pinheiros, 220 ,4,5,4
Apartamento,2.695,2100,Santana, 42 ,1,1,2
Sobrado,5.805,5300,Santana, 100 ,0,3,2
Apartamento,5.546,3500,Santana, 157 ,4,3,2
Apartamento,6.150,3900,Pinheiros, 66 ,2,1,1
Apartamento,14.794,10000,Moema, 240 ,4,5,4
Apartamento,4.325,3200,Santana, 83 ,3,3,2
Cobertura,25.147,17000,Campo Belo, 389 ,4,6,5
Apartamento,38.332,32000,Jardim América, 270 ,3,5,4
Duplex,15.000,8000,Moema, 250 ,3,5,4
Apartamento,6.093,4500,Moema, 100 ,3,3,1
Cobertura,23.016,20000,Campo Belo, 258 ,3,3,4
Apartamento,4.500,3480,Pinheiros, 84 ,2,2,1
Apartamento,9.810,8500,Pinheiros, 71 ,1,2,2
Apartamento,2.665,2300,Centro, 26 ,1,1,0
Sobrado,5.550,5000,Santana, 298 ,3,3,2
Casa térrea,9.780,8500,Granja Julieta, 480 ,3,5,2
Apartamento,7.255,5000,Jardim América, 165 ,3,3,2
Apartamento,6.650,4500,Jardim Paulista, 140 ,3,3,1
Apartamento,5.900,3700,Pinheiros, 116 ,3,2,2
Condomínio,3.270,3000,Tremembé, 112 ,3,3,2
Apartamento,3.160,2500,Barra Funda, 51 ,2,2,1
Apartamento,2.085,2000,Santana, 70 ,2,1,0
Sobrado,14.168,13000,Vila Mariana, 191 ,4,3,2
Apartamento,6.300,5500,Vila Olímpia, 32 ,2,2,1
Apartamento,2.560,2000,Santana, 31 ,1,1,11
Apartamento,3.012,2400,Higienópolis, 50 ,2,1,1
Apartamento,4.021,3000,Brooklin, 49 ,1,1,1
Salas,2.629,1600,Santana, 40 ,0,2,1
Salas,5.860,4500,Santana, 85 ,0,2,2
Apartamento,17.477,14000,Campo Belo, 201 ,4,5,4
Apartamento,9.118,6500,Jardim Paulista, 140 ,3,2,1
Apartamento,3.012,2300,Santana, 51 ,2,1,1
Salas,3.124,2200,Santana, 47 ,0,2,1
Apartamento,10.970,8571,Jardim Paulista, 177 ,3,3,2
Apartamento,1.640,1200,Santana, 48 ,1,1,1
Cobertura,9.938,7000,Vila Mariana, 218 ,3,2,3
Apartamento,2.420,1700,Santana, 37 ,1,1,1
Apartamento,7.235,4300,Alto De Pinheiros, 125 ,2,4,2
Apartamento,3.508,2350,Pinheiros, 100 ,2,1,1
Casa,19.175,15000,Brooklin, 790 ,6,8,10
Sobrado,3.391,3000,Santana, 150 ,3,2,2
Apartamento,12.390,8900,Real Parque, 180 ,2,5,3
Apartamento,12.034,6000,Moema, 200 ,3,4,4
Salas,2.800,1500,Pinheiros, 38 ,1,1,0
Apartamento,6.663,4500,Pinheiros, 109 ,3,3,2
Apartamento,4.492,2500,Santana, 159 ,3,4,3
Apartamento,9.090,7400,Itaim Bibi, 110 ,3,2,1
